nom,image
Plante,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/plante.png
Poison,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/poison.png
Feu,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/feu.png
Vol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/vol.png
Eau,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/eau.png
Insecte,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/insecte.png
Normal,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/normal.png
electrik,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/electrik.png
Sol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/sol.png
Fee,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/fee.png
Combat,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/combat.png
Psy,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/psy.png
Roche,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/roche.png
Acier,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/acier.png
Glace,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/glace.png
Spectre,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/spectre.png
Dragon,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/dragon.png
Tenebres,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/types/tenebres.png
