id,id_pokemon,id_dresseur,surnom,niveau,date_stockage
1,594,1,Claude,42,2024-04-16
2,32,1,Bradly,91,2024-03-08
3,206,1,Harmony,77,2024-03-05
4,96,1,Allison,68,2023-10-06
5,1023,1,Antoinette,6,2024-05-31
6,126,1,Jordy,34,2024-09-05
7,715,1,Stacey,39,2024-04-27
8,736,1,Jensen,79,2024-06-13
9,865,1,Aimee,67,2023-11-10
10,625,1,Eleonore,54,2024-01-30
11,545,1,Ford,70,2023-09-26
12,462,1,Raegan,40,2023-12-30
13,284,1,Annamae,24,2023-11-17
14,437,1,Isaias,3,2023-10-03
15,181,1,Cathryn,41,2024-03-23
16,649,1,Johanna,45,2024-06-27
17,162,1,Yvette,9,2024-03-28
18,881,1,Leo,22,2024-03-30
19,971,1,Carmine,54,2024-04-08
20,883,1,Jaida,92,2024-06-26
21,969,1,Veda,9,2024-03-26
22,799,1,Roderick,67,2023-11-27
23,789,1,Meggie,70,2023-10-25
24,617,1,Karolann,11,2023-11-14
25,41,1,Demetris,50,2024-05-31
26,471,1,Annamarie,24,2024-01-03
27,652,1,Lia,53,2024-08-08
28,118,1,Reynold,52,2024-03-24
29,380,1,Damien,74,2023-12-26
30,889,1,Joanie,89,2024-06-16
31,342,1,Juliana,43,2024-03-19
32,481,1,Viviane,13,2024-03-11
33,605,1,Freida,96,2024-06-06
34,546,1,Citlalli,56,2024-03-28
35,956,1,Ara,83,2023-12-23
36,474,1,Ernestine,21,2023-09-22
37,832,1,Otis,20,2023-10-19
38,689,1,Gabriel,73,2024-07-21
39,353,1,Hal,100,2023-11-06
40,646,1,Barton,29,2024-08-27
41,798,1,Filiberto,19,2023-12-07
42,114,1,Marcos,83,2024-01-21
43,265,1,Finn,63,2024-09-02
44,458,1,Zita,75,2024-08-30
45,106,1,Corene,54,2024-08-05
46,461,1,Santa,34,2023-10-29
47,99,1,Verla,73,2024-01-28
48,817,1,Arlie,92,2024-01-05
49,719,1,Amir,55,2024-06-20
50,583,1,Jessyca,51,2024-05-09
51,129,1,Hellen,34,2023-10-27
52,502,1,Kellie,26,2024-06-16
53,508,1,Minnie,50,2024-04-27
54,317,1,Trevion,31,2024-02-29
55,914,1,Courtney,63,2024-06-07
56,794,1,Hailey,48,2023-12-31
57,854,1,Camryn,87,2024-04-26
58,99,1,Simone,49,2024-07-02
59,946,1,Kitty,31,2024-04-30
60,668,1,Cordelia,48,2024-05-11
61,224,1,Kylie,51,2023-12-26
