id,id_pokemon,id_dresseur,surnom,niveau,pv_restant,position
1,16,1,Gudrun,16,7,0
2,229,1,Emie,76,52,1
3,551,1,Buddy,64,51,2
4,777,1,Estel,20,55,3
5,113,1,Gianni,79,34,4
6,795,1,Carolanne,64,41,5
7,36,2,Bertrand,3,36,0
8,855,2,Ryleigh,64,53,1
9,160,2,Adah,34,30,2
10,26,2,Alvina,47,7,3
11,479,2,Leonor,17,17,4
12,63,3,Lorna,95,14,0
13,131,3,Kattie,33,23,1
14,870,3,Fidel,15,37,2
15,959,4,Arden,27,52,0
16,135,4,Francis,32,55,1
17,817,5,Eric,100,15,0
18,904,5,Hal,92,43,1
19,158,5,Mohamed,50,46,2
20,46,6,Emile,18,24,0
21,169,6,Mackenzie,75,21,1
22,245,6,Noah,30,36,2
23,616,7,Tony,100,10,0
24,364,7,Christiana,83,22,1
25,888,7,Jerod,69,18,2
26,163,7,Vickie,69,53,3
27,776,8,Donny,37,22,0
28,246,8,Marcella,45,26,1
29,316,8,Lew,44,52,2
30,463,9,Alycia,96,28,0
31,859,9,Charley,6,6,1
32,908,9,Nasir,88,37,2
33,402,9,Benedict,28,39,3
34,66,9,Fletcher,2,21,4
35,768,9,Aron,52,27,5
36,240,10,Stephen,90,56,0
37,643,11,Geovanni,59,53,0
38,516,11,Princess,17,41,1
39,988,12,Sebastian,15,58,0
40,801,12,Rhianna,71,6,1
41,268,12,Renee,38,35,2
42,630,12,Scot,61,4,3
43,421,13,Emmet,88,46,0
44,180,13,Vicente,54,13,1
45,495,13,Josefina,100,4,2
46,820,13,Annie,50,46,3
47,396,13,Jade,5,8,4
48,314,14,Russ,22,43,0
49,505,14,Madison,7,26,1
50,437,14,Stevie,88,29,2
51,768,14,Isadore,50,30,3
52,853,14,Josiah,56,60,4
53,750,15,Claire,45,36,0
54,822,15,Nyah,4,42,1
55,36,15,Bette,96,60,2
56,846,15,Paige,64,60,3
57,465,15,Elise,22,23,4
58,820,15,Matilde,71,43,5
59,166,16,Aditya,58,8,0
60,316,16,Edgardo,29,20,1
61,799,16,Arden,27,20,2
62,66,17,Rosendo,60,4,0
63,628,17,Christina,84,13,1
64,895,17,Favian,22,8,2
65,276,17,Holly,22,36,3
66,242,17,Newton,86,52,4
67,980,17,Loren,18,10,5
68,910,18,Lessie,77,51,0
69,999,18,Francesco,97,16,1
70,983,19,Merle,55,19,0
71,997,19,Hillary,61,16,1
72,412,19,Ronaldo,64,52,2
73,910,19,Einar,54,34,3
74,367,19,Chester,44,51,4
75,80,19,Kiel,56,30,5
76,870,20,Tatum,60,16,0
77,87,20,Hermina,86,3,1
78,114,20,Cassandre,96,59,2
79,116,21,Gregg,28,54,0
80,263,22,Judah,73,32,0
81,743,22,Mavis,14,39,1
82,806,22,Karelle,7,1,2
83,170,22,Joanne,9,2,3
84,23,22,Janick,82,22,4
85,610,22,Martine,70,22,5
86,472,23,Aurelia,92,26,0
87,26,23,Dorian,74,43,1
88,693,23,Carmel,52,56,2
89,594,23,Lewis,31,6,3
90,989,24,Brain,78,17,0
91,442,24,Rosalee,9,56,1
92,586,25,Carole,40,19,0
93,193,25,Verner,69,42,1
94,708,25,Rosella,7,7,2
95,904,25,Rubye,25,16,3
96,242,25,Antwon,38,37,4
97,103,25,Micah,17,20,5
98,348,26,Catalina,91,9,0
99,116,27,Sheldon,81,28,0
100,810,27,Diana,46,58,1
101,871,27,Tavares,34,60,2
102,489,27,Mittie,59,41,3
103,647,28,Marcia,13,20,0
104,905,29,Dorothea,21,31,0
105,753,29,Kurtis,45,12,1
106,751,29,Camille,94,15,2
107,752,29,Rudolph,48,23,3
108,37,30,Delta,45,24,0
109,952,30,Katlynn,48,51,1
110,372,30,Kenyatta,53,6,2
111,974,30,Fidel,46,37,3
112,257,30,Jan,75,10,4
113,937,30,Erna,86,12,5
114,10,31,Ramona,46,55,0
115,708,32,Dannie,34,2,0
116,803,32,Elfrieda,24,39,1
117,161,32,Shanon,98,45,2
118,625,33,Bryon,51,19,0
119,466,34,Cydney,83,33,0
120,595,34,Davonte,97,39,1
121,645,35,Stanford,33,52,0
122,414,36,Dexter,90,38,0
123,334,37,Muriel,82,3,0
124,535,37,Finn,13,47,1
125,177,37,Alisha,21,8,2
126,674,37,Coby,60,30,3
127,350,37,Cora,72,55,4
128,793,37,Maggie,16,26,5
129,290,38,Shea,78,60,0
130,763,38,Sid,98,46,1
131,584,39,Linda,40,21,0
132,918,39,Demond,27,17,1
133,158,40,Ewald,24,38,0
134,657,40,Kellen,92,14,1
135,452,40,Gage,88,41,2
136,534,40,Karlee,60,17,3
137,156,40,Joy,1,40,4
138,991,40,Geovanni,3,14,5
139,349,41,Ariel,38,49,0
140,752,41,Kenyatta,12,39,1
141,782,41,Ivah,83,59,2
142,147,41,Gwendolyn,60,40,3
143,844,42,Jermain,32,55,0
144,432,42,Eriberto,45,36,1
145,403,42,Julia,65,28,2
146,640,42,Carson,25,47,3
147,479,43,Parker,40,13,0
148,340,43,Sadie,43,43,1
149,1025,43,Isaac,85,34,2
150,263,44,Alvis,80,59,0
151,812,44,Vivienne,24,21,1
152,950,44,Maurice,53,44,2
153,770,45,Jazmyne,92,35,0
154,870,46,Rhea,38,3,0
155,1017,46,Gardner,96,16,1
156,793,47,Althea,66,42,0
157,962,47,Rick,52,29,1
158,566,47,Dustin,72,52,2
159,662,47,Jakayla,99,42,3
160,852,47,Kobe,43,35,4
161,398,48,Reyes,73,30,0
162,33,48,Hermina,97,37,1
163,404,48,Jarrett,2,31,2
164,983,48,Garnett,81,37,3
165,687,48,Kelsie,87,35,4
166,952,49,Keanu,65,20,0
167,715,49,Reed,3,10,1
168,937,49,Abner,66,22,2
169,123,49,Felipa,2,36,3
170,137,50,Myron,18,55,0
171,113,50,Connie,22,22,1
172,804,50,Pearline,37,15,2
173,145,50,Declan,22,54,3
174,530,50,Emilia,62,29,4
