id,id_dresseur1,id_dresseur2,date_combat,resultat
1,1,3,2019-02-24,Defaite
2,1,39,2019-08-06,Victoire
3,1,36,2020-09-18,Defaite
4,1,29,2023-12-08,Victoire
5,2,43,2021-03-02,Victoire
6,3,32,2024-02-27,Victoire
7,3,23,2023-03-28,Defaite
8,3,42,2024-05-10,Victoire
9,3,7,2024-07-23,Victoire
10,3,29,2022-05-15,Defaite
11,3,16,2023-05-25,Victoire
12,3,15,2023-04-02,Victoire
13,4,27,2019-08-31,Defaite
14,4,18,2023-02-01,Victoire
15,4,38,2019-09-17,Victoire
16,4,12,2022-03-22,Victoire
17,4,49,2020-06-30,Defaite
18,4,30,2023-09-15,Victoire
19,4,39,2022-04-28,Defaite
20,4,1,2021-07-26,Victoire
21,4,33,2021-09-06,Defaite
22,5,46,2024-04-18,Defaite
23,5,10,2024-02-21,Defaite
24,5,47,2022-07-15,Victoire
25,5,48,2023-05-03,Victoire
26,5,44,2023-04-13,Victoire
27,5,10,2022-10-18,Defaite
28,6,24,2021-04-07,Defaite
29,6,15,2020-03-27,Victoire
30,6,11,2020-06-30,Defaite
31,6,19,2021-06-04,Victoire
32,7,5,2020-01-28,Defaite
33,7,15,2020-03-14,Victoire
34,7,17,2024-02-08,Defaite
35,7,1,2021-06-25,Victoire
36,7,48,2023-06-27,Defaite
37,8,33,2019-03-25,Defaite
38,8,50,2022-09-02,Defaite
39,8,4,2020-12-02,Defaite
40,10,4,2019-02-06,Defaite
41,10,12,2022-06-24,Defaite
42,10,39,2020-01-10,Defaite
43,10,45,2021-01-09,Defaite
44,10,48,2022-04-01,Victoire
45,11,26,2023-01-15,Victoire
46,11,1,2024-05-10,Victoire
47,11,17,2024-04-04,Defaite
48,12,45,2021-11-24,Victoire
49,13,41,2022-07-25,Victoire
50,13,18,2021-05-28,Victoire
51,13,49,2019-03-20,Victoire
52,13,24,2020-02-23,Defaite
53,13,7,2020-02-04,Defaite
54,13,5,2023-06-15,Defaite
55,13,9,2020-05-10,Victoire
56,14,26,2022-03-07,Victoire
57,14,36,2022-06-09,Victoire
58,15,42,2023-03-08,Victoire
59,15,24,2019-09-24,Defaite
60,15,43,2022-06-25,Victoire
61,15,41,2021-11-09,Defaite
62,15,20,2020-03-11,Victoire
63,15,6,2019-08-10,Victoire
64,16,47,2022-06-19,Defaite
65,16,23,2021-11-25,Defaite
66,16,49,2019-09-23,Defaite
67,16,18,2022-07-24,Defaite
68,16,34,2019-03-19,Defaite
69,17,30,2019-12-24,Victoire
70,17,5,2021-08-29,Defaite
71,17,10,2021-10-19,Defaite
72,17,16,2022-08-05,Defaite
73,17,13,2019-11-11,Defaite
74,17,8,2019-11-13,Defaite
75,18,26,2023-10-21,Victoire
76,18,34,2023-12-07,Defaite
77,18,5,2019-10-05,Defaite
78,19,38,2022-08-16,Defaite
79,19,29,2021-03-16,Defaite
80,19,1,2022-02-23,Defaite
81,19,4,2023-11-01,Defaite
82,20,32,2021-05-29,Victoire
83,20,50,2024-07-15,Defaite
84,20,30,2021-08-03,Defaite
85,20,5,2021-06-30,Victoire
86,20,49,2020-01-15,Victoire
87,21,35,2019-01-28,Victoire
88,21,41,2021-07-21,Victoire
89,21,42,2020-08-29,Victoire
90,21,38,2023-06-02,Victoire
91,23,11,2024-03-24,Victoire
92,23,6,2019-05-21,Victoire
93,23,28,2020-01-31,Victoire
94,23,3,2021-04-19,Defaite
95,23,47,2020-08-19,Defaite
96,23,47,2023-11-25,Victoire
97,23,17,2022-02-07,Defaite
98,23,2,2022-12-29,Defaite
99,24,13,2021-08-30,Defaite
100,24,44,2021-06-25,Victoire
101,24,4,2019-03-18,Defaite
102,24,1,2021-07-10,Defaite
103,24,2,2022-09-17,Defaite
104,24,41,2022-12-16,Defaite
105,24,6,2020-04-26,Defaite
106,24,45,2023-03-10,Victoire
107,25,37,2021-03-23,Defaite
108,25,30,2021-01-01,Victoire
109,25,37,2019-06-23,Victoire
110,25,39,2019-07-02,Defaite
111,26,37,2021-03-03,Defaite
112,26,44,2022-05-21,Victoire
113,26,16,2023-08-17,Defaite
114,26,35,2021-12-17,Victoire
115,26,10,2024-06-07,Defaite
116,27,33,2023-01-26,Defaite
117,28,9,2022-10-22,Victoire
118,28,3,2021-05-05,Victoire
119,28,9,2022-10-24,Defaite
120,29,47,2019-01-22,Victoire
121,29,9,2021-05-21,Victoire
122,29,47,2020-02-14,Defaite
123,29,23,2020-12-21,Defaite
124,30,28,2019-01-17,Defaite
125,30,7,2022-05-21,Victoire
126,30,39,2024-06-18,Defaite
127,30,32,2022-02-05,Defaite
128,31,48,2021-01-11,Victoire
129,31,32,2020-04-03,Victoire
130,31,9,2023-04-12,Victoire
131,31,16,2022-01-25,Victoire
132,31,27,2020-09-24,Defaite
133,31,47,2024-03-14,Victoire
134,31,12,2019-07-08,Victoire
135,31,28,2021-07-15,Victoire
136,32,27,2024-07-21,Defaite
137,32,39,2023-02-11,Defaite
138,32,21,2020-06-29,Victoire
139,32,14,2022-12-14,Defaite
140,32,43,2019-08-31,Victoire
141,32,1,2020-09-09,Victoire
142,32,48,2023-03-23,Defaite
143,32,47,2021-11-08,Defaite
144,32,28,2020-06-15,Victoire
145,33,30,2020-03-18,Victoire
146,33,29,2024-06-11,Defaite
147,33,10,2020-10-18,Victoire
148,33,13,2020-09-30,Victoire
149,34,4,2022-11-29,Defaite
150,34,9,2023-11-13,Defaite
151,34,44,2024-07-29,Defaite
152,34,41,2020-02-06,Defaite
153,34,38,2020-09-16,Victoire
154,34,32,2023-02-18,Defaite
155,35,1,2023-10-02,Defaite
156,36,28,2019-11-11,Victoire
157,36,20,2022-07-12,Victoire
158,37,46,2022-11-22,Victoire
159,37,9,2020-10-28,Defaite
160,37,17,2022-07-10,Defaite
161,39,38,2021-02-12,Defaite
162,39,6,2024-04-21,Victoire
163,39,37,2023-01-18,Defaite
164,39,20,2022-11-26,Victoire
165,40,28,2019-09-13,Defaite
166,40,14,2020-09-24,Victoire
167,40,41,2023-10-06,Defaite
168,40,21,2023-10-04,Defaite
169,40,37,2023-05-11,Victoire
170,41,16,2021-08-04,Victoire
171,41,19,2021-04-18,Victoire
172,41,16,2019-04-23,Victoire
173,42,39,2020-08-13,Victoire
174,42,12,2022-09-21,Victoire
175,42,24,2022-02-23,Victoire
176,42,45,2019-07-15,Defaite
177,42,30,2021-01-26,Defaite
178,42,18,2023-01-30,Defaite
179,43,13,2023-12-23,Victoire
180,44,6,2020-05-01,Victoire
181,44,30,2022-01-09,Defaite
182,44,19,2020-02-13,Defaite
183,44,36,2021-06-19,Defaite
184,44,8,2023-04-01,Victoire
185,44,5,2022-11-30,Defaite
186,45,14,2021-09-20,Defaite
187,46,17,2023-02-25,Defaite
188,46,6,2024-01-08,Victoire
189,46,28,2022-05-15,Victoire
190,46,13,2019-08-06,Victoire
191,46,45,2021-05-24,Defaite
192,46,50,2022-06-11,Defaite
193,46,29,2020-06-23,Defaite
194,47,32,2024-05-04,Defaite
195,48,35,2020-07-18,Defaite
196,48,1,2019-09-26,Victoire
197,48,9,2022-12-17,Defaite
198,48,24,2024-08-28,Victoire
199,48,25,2023-11-30,Defaite
200,48,16,2024-03-22,Victoire
201,48,29,2023-04-04,Victoire
202,49,16,2021-06-15,Victoire
203,49,12,2021-04-22,Defaite
204,50,20,2019-11-23,Victoire
205,50,22,2019-06-15,Victoire
206,50,23,2020-07-12,Defaite
207,50,30,2021-04-13,Victoire
208,50,43,2020-12-29,Defaite
209,50,7,2021-11-01,Defaite
210,50,16,2020-03-15,Defaite
211,50,46,2024-04-16,Defaite
