id,id_arene,id_dresseur,date_combat,resultat
1,65,1,2024-01-31,Defaite
2,31,1,2021-11-04,Victoire
3,49,1,2021-07-20,Victoire
4,10,1,2023-01-07,Victoire
5,32,1,2021-12-24,Victoire
6,44,1,2020-05-01,Defaite
7,40,1,2022-09-18,Defaite
8,52,1,2022-11-12,Victoire
9,21,1,2019-10-07,Defaite
10,57,1,2022-01-10,Victoire
11,69,1,2019-08-11,Defaite
12,78,1,2023-02-26,Defaite
13,63,1,2022-08-06,Defaite
14,38,1,2023-12-12,Defaite
15,51,1,2019-02-15,Victoire
16,60,1,2023-11-26,Defaite
17,68,1,2021-07-19,Defaite
18,73,1,2023-12-14,Victoire
19,58,1,2024-03-26,Defaite
20,16,1,2019-05-25,Defaite
21,48,1,2021-01-31,Defaite
22,39,1,2024-07-25,Victoire
23,46,1,2019-01-11,Victoire
24,17,1,2022-08-30,Victoire
25,3,1,2024-01-25,Victoire
26,76,1,2021-07-12,Defaite
27,27,1,2019-11-16,Victoire
28,70,1,2022-11-11,Victoire
29,11,1,2019-04-15,Defaite
30,77,1,2024-04-15,Victoire
31,47,1,2020-08-29,Defaite
32,35,1,2021-11-14,Victoire
33,54,1,2021-09-12,Victoire
34,9,1,2023-11-20,Victoire
35,5,1,2020-11-07,Defaite
36,79,1,2023-04-22,Victoire
37,42,1,2021-10-28,Victoire
38,72,1,2024-07-28,Victoire
39,71,1,2022-02-12,Defaite
40,26,1,2019-12-03,Defaite
41,24,1,2019-01-29,Defaite
42,67,3,2021-06-26,Victoire
43,5,3,2023-12-29,Victoire
44,78,4,2019-08-23,Defaite
45,52,4,2023-01-24,Defaite
46,51,4,2019-12-18,Victoire
47,50,4,2021-02-06,Victoire
48,54,4,2020-06-23,Defaite
49,5,4,2019-03-19,Victoire
50,46,4,2019-10-22,Victoire
51,79,4,2024-03-04,Defaite
52,30,4,2020-08-17,Defaite
53,65,4,2024-08-22,Victoire
54,59,4,2019-08-21,Victoire
55,18,4,2022-06-11,Defaite
56,74,4,2019-08-23,Defaite
57,66,4,2021-04-16,Victoire
58,31,4,2024-09-11,Defaite
59,40,4,2023-02-03,Defaite
60,60,4,2019-05-16,Victoire
61,56,4,2024-02-25,Defaite
62,32,4,2020-08-07,Victoire
63,80,4,2024-08-31,Defaite
64,62,4,2020-02-09,Victoire
65,10,4,2021-01-23,Victoire
66,21,4,2021-04-01,Defaite
67,23,4,2019-09-28,Defaite
68,16,4,2022-10-02,Victoire
69,68,4,2023-01-06,Defaite
70,53,4,2020-10-31,Victoire
71,7,4,2022-02-19,Defaite
72,77,4,2020-06-20,Defaite
73,3,4,2024-02-01,Defaite
74,49,4,2023-04-12,Victoire
75,39,4,2024-04-01,Defaite
76,69,4,2023-06-16,Defaite
77,35,4,2024-06-27,Defaite
78,48,4,2022-07-26,Defaite
79,75,4,2024-08-08,Defaite
80,36,4,2021-07-11,Victoire
81,26,4,2023-02-22,Defaite
82,37,4,2023-02-27,Victoire
83,67,4,2021-11-21,Defaite
84,57,4,2019-07-29,Victoire
85,43,4,2019-08-24,Defaite
86,61,4,2019-08-17,Victoire
87,22,4,2022-12-06,Victoire
88,76,4,2021-08-20,Victoire
89,47,4,2023-02-18,Victoire
90,64,4,2022-09-23,Victoire
91,1,4,2021-07-25,Defaite
92,6,4,2020-02-10,Victoire
93,15,4,2020-02-09,Victoire
94,34,4,2024-05-16,Victoire
95,72,4,2019-07-16,Victoire
96,45,4,2020-08-14,Defaite
97,14,4,2019-05-07,Defaite
98,28,4,2022-10-30,Defaite
99,58,4,2020-11-30,Defaite
100,25,4,2019-07-21,Defaite
101,57,5,2020-11-04,Victoire
102,33,5,2020-10-26,Victoire
103,67,5,2024-02-19,Defaite
104,56,5,2019-12-06,Victoire
105,35,5,2024-01-26,Victoire
106,50,5,2024-03-22,Victoire
107,72,5,2022-04-29,Victoire
108,12,5,2021-11-16,Victoire
109,23,5,2021-11-19,Defaite
110,27,5,2019-08-19,Defaite
111,20,5,2021-10-04,Defaite
112,8,5,2021-10-01,Victoire
113,52,5,2019-05-13,Defaite
114,43,5,2020-06-30,Defaite
115,40,5,2023-12-28,Victoire
116,26,5,2021-10-09,Defaite
117,77,5,2019-08-26,Defaite
118,37,5,2022-05-18,Victoire
119,54,5,2021-06-21,Defaite
120,9,5,2021-10-07,Defaite
121,74,5,2022-10-25,Victoire
122,78,5,2019-01-25,Defaite
123,66,5,2020-09-28,Defaite
124,53,5,2021-05-26,Victoire
125,1,5,2021-07-04,Victoire
126,47,5,2024-03-21,Defaite
127,44,5,2020-05-28,Victoire
128,31,5,2022-12-02,Defaite
129,30,5,2019-12-23,Defaite
130,70,5,2021-11-19,Defaite
131,36,5,2022-01-17,Defaite
132,39,5,2023-11-13,Defaite
133,17,5,2023-01-16,Defaite
134,28,5,2023-04-13,Defaite
135,38,5,2020-07-17,Defaite
136,63,5,2020-06-18,Victoire
137,75,5,2023-01-19,Defaite
138,73,5,2021-11-05,Defaite
139,5,5,2020-09-08,Defaite
140,80,5,2020-02-04,Defaite
141,65,5,2021-09-17,Defaite
142,41,5,2019-09-24,Victoire
143,6,5,2022-12-19,Victoire
144,22,5,2023-09-02,Victoire
145,51,5,2024-04-14,Defaite
146,4,5,2020-07-09,Victoire
147,49,5,2019-11-21,Victoire
148,76,5,2024-05-05,Victoire
149,45,5,2021-03-14,Defaite
150,15,5,2024-06-22,Defaite
151,47,6,2021-04-06,Victoire
152,30,6,2020-07-01,Victoire
153,44,6,2022-02-11,Victoire
154,77,6,2021-02-04,Defaite
155,12,6,2022-05-15,Defaite
156,75,6,2023-10-16,Defaite
157,35,6,2019-05-31,Victoire
158,45,6,2022-12-08,Defaite
159,24,6,2019-03-04,Victoire
160,43,6,2019-06-08,Defaite
