id,id_dresseur,date,montant,type,objet
1,1,2024-03-04,-302,Debit,2
2,1,2023-05-13,-25,Debit,
3,1,2021-03-11,428,Versement,
4,1,2021-10-30,-5,Debit,
5,2,2024-03-12,-135,Debit,
6,2,2020-04-26,-73,Debit,
7,2,2022-02-10,486,Versement,
8,3,2021-11-03,-393,Debit,
9,3,2020-09-29,355,Versement,
10,3,2024-09-10,-334,Debit,
11,3,2021-05-04,-379,Debit,
12,3,2021-11-10,450,Versement,
13,3,2023-10-02,280,Versement,
14,4,2020-01-02,-414,Debit,
15,4,2023-01-15,301,Versement,
16,4,2020-11-23,34,Versement,
17,4,2022-10-18,179,Versement,
18,4,2024-05-18,-487,Debit,
19,5,2023-03-30,260,Versement,
20,5,2022-09-24,183,Versement,
21,5,2020-03-22,5,Versement,
22,6,2023-04-08,-136,Debit,
23,6,2020-05-29,-124,Debit,
24,6,2022-04-27,55,Versement,
25,6,2023-10-22,-90,Debit,
26,6,2022-10-21,251,Versement,
27,6,2021-01-01,-99,Debit,
28,6,2020-05-07,123,Versement,
29,6,2020-03-23,216,Versement,
30,6,2020-08-20,-182,Debit,
31,7,2020-09-28,399,Versement,
32,7,2021-04-19,328,Versement,
33,7,2024-08-01,114,Versement,
34,7,2024-02-27,218,Versement,
35,7,2022-03-19,-473,Debit,
36,7,2022-09-15,-82,Debit,
37,7,2022-09-14,-173,Debit,
38,8,2020-09-16,-372,Debit,
39,8,2024-06-22,-130,Debit,
40,8,2022-11-12,192,Versement,
41,8,2022-06-05,163,Versement,
42,8,2021-12-17,253,Versement,
43,9,2022-09-28,457,Versement,
44,10,2022-10-31,-358,Debit,
45,10,2022-04-14,-273,Debit,
46,10,2021-02-05,-371,Debit,
47,10,2020-03-25,-433,Debit,
48,10,2021-08-29,454,Versement,
49,11,2024-02-14,-242,Debit,
50,11,2020-03-01,-77,Debit,
51,12,2024-04-30,11,Versement,
52,12,2021-05-13,319,Versement,
53,13,2020-03-19,46,Versement,
54,13,2024-05-03,290,Versement,
55,13,2020-04-22,353,Versement,
56,13,2024-09-08,155,Versement,
57,13,2022-01-18,-301,Debit,
58,13,2022-12-05,-117,Debit,
59,13,2020-07-13,498,Versement,
60,13,2023-06-23,73,Versement,
61,13,2024-01-16,-269,Debit,
62,13,2023-01-05,365,Versement,
63,14,2020-06-10,-97,Debit,
64,14,2024-08-27,-270,Debit,
65,14,2020-05-30,-48,Debit,
66,14,2020-02-14,-21,Debit,
67,14,2023-11-10,364,Versement,
68,14,2021-02-23,-47,Debit,
69,14,2020-06-24,221,Versement,
70,14,2021-09-02,162,Versement,
71,15,2022-05-21,-154,Debit,
72,15,2022-10-13,81,Versement,
73,15,2021-02-10,-223,Debit,
74,15,2024-02-20,276,Versement,
75,15,2022-02-21,60,Versement,
76,15,2024-02-29,-360,Debit,
77,15,2022-04-04,-321,Debit,
78,15,2020-07-06,10,Versement,
79,15,2022-09-11,-362,Debit,
80,16,2023-04-23,-210,Debit,
81,16,2020-02-29,128,Versement,
82,17,2021-03-18,-167,Debit,
83,17,2024-04-24,135,Versement,
84,17,2020-03-01,355,Versement,
85,17,2020-07-21,-326,Debit,
86,17,2022-12-08,88,Versement,
87,17,2022-09-07,285,Versement,
88,17,2022-09-03,-375,Debit,
89,18,2020-02-25,-338,Debit,
90,19,2021-06-12,-400,Debit,
91,19,2024-05-15,438,Versement,
92,20,2023-12-28,363,Versement,
93,20,2020-02-06,-392,Debit,
94,20,2021-07-05,-474,Debit,
95,20,2022-02-20,398,Versement,
96,20,2020-01-11,-291,Debit,
97,20,2023-04-24,-160,Debit,
98,20,2023-07-20,51,Versement,
99,20,2024-05-15,-451,Debit,
100,21,2021-10-31,321,Versement,
101,21,2022-09-06,-332,Debit,
102,21,2023-04-23,415,Versement,
103,21,2023-07-24,-2,Debit,
104,21,2024-05-20,298,Versement,
105,22,2022-11-13,355,Versement,
106,22,2023-05-10,349,Versement,
107,23,2022-12-10,-153,Debit,
108,23,2020-07-24,450,Versement,
109,23,2021-07-29,497,Versement,
110,23,2020-07-02,-237,Debit,
111,23,2022-02-15,390,Versement,
112,23,2022-06-13,253,Versement,
113,23,2020-08-23,281,Versement,
114,23,2022-03-26,382,Versement,
115,24,2022-11-30,-245,Debit,
116,24,2020-01-21,161,Versement,
117,24,2023-11-14,310,Versement,
118,24,2022-02-11,288,Versement,
119,24,2020-07-11,-32,Debit,
120,24,2020-01-24,-149,Debit,
121,24,2023-01-10,339,Versement,
122,24,2021-05-05,-332,Debit,
123,24,2022-01-07,-161,Debit,
124,24,2022-04-27,-266,Debit,
125,25,2023-03-15,84,Versement,
126,26,2024-01-03,-73,Debit,
127,26,2024-06-21,107,Versement,
128,26,2023-01-28,217,Versement,
129,26,2023-06-15,253,Versement,
130,26,2020-04-10,-473,Debit,
131,26,2020-08-16,466,Versement,
132,26,2020-01-01,-388,Debit,
133,26,2022-05-06,-372,Debit,
134,26,2023-11-02,-482,Debit,
135,27,2022-09-10,75,Versement,
136,27,2022-10-24,404,Versement,
137,27,2023-03-05,418,Versement,
138,27,2022-04-15,-191,Debit,
139,27,2023-11-08,382,Versement,
140,28,2020-07-21,380,Versement,
141,28,2024-04-20,-408,Debit,
142,28,2022-07-24,-464,Debit,
143,28,2021-03-11,-212,Debit,
144,28,2023-11-22,191,Versement,
145,29,2021-06-28,296,Versement,
146,29,2023-11-28,398,Versement,
147,29,2022-06-11,-433,Debit,
148,29,2022-04-12,344,Versement,
149,29,2024-02-19,404,Versement,
150,29,2023-01-29,210,Versement,
151,29,2021-09-27,152,Versement,
152,30,2020-01-29,-350,Debit,
153,30,2021-04-07,-268,Debit,
154,30,2022-09-30,-239,Debit,
155,30,2022-04-19,490,Versement,
156,30,2023-06-13,-274,Debit,
157,30,2020-07-01,440,Versement,
158,30,2020-09-12,-434,Debit,
159,30,2021-04-11,334,Versement,
160,30,2024-09-08,-31,Debit,
161,31,2022-05-08,-91,Debit,
162,32,2020-07-23,-336,Debit,
163,33,2020-03-14,-28,Debit,
164,33,2024-06-29,489,Versement,
165,33,2021-10-20,83,Versement,
166,33,2022-04-09,-9,Debit,
167,33,2020-06-30,-106,Debit,
168,33,2020-12-02,172,Versement,
169,33,2022-08-22,-473,Debit,
170,33,2023-05-19,264,Versement,
171,33,2023-06-14,-84,Debit,
172,33,2022-05-19,-490,Debit,
173,34,2020-03-18,-161,Debit,
174,34,2020-12-16,-59,Debit,
175,34,2024-01-03,107,Versement,
176,34,2023-02-14,130,Versement,
177,34,2024-09-09,1,Versement,
178,34,2023-09-23,-456,Debit,
179,34,2023-09-06,483,Versement,
180,34,2022-10-15,29,Versement,
181,34,2022-03-15,-292,Debit,
182,35,2023-12-31,-344,Debit,
183,35,2022-12-08,200,Versement,
184,35,2021-09-09,-194,Debit,
185,35,2024-07-13,-358,Debit,
186,35,2023-12-30,-428,Debit,
187,35,2023-05-07,-398,Debit,
188,36,2021-12-12,-479,Debit,
189,36,2020-05-17,-197,Debit,
190,36,2020-06-01,285,Versement,
191,36,2021-05-17,306,Versement,
192,36,2024-07-24,-389,Debit,
193,36,2024-03-20,-62,Debit,
194,37,2022-01-27,26,Versement,
195,37,2022-07-15,391,Versement,
196,37,2020-05-17,379,Versement,
197,37,2024-07-28,136,Versement,
198,37,2024-02-12,32,Versement,
199,38,2022-11-16,151,Versement,
200,38,2024-06-04,115,Versement,
201,38,2021-02-17,-145,Debit,
202,39,2022-10-22,-187,Debit,
203,40,2020-08-31,184,Versement,
204,40,2020-11-09,111,Versement,
205,40,2023-03-11,-66,Debit,
206,40,2021-03-08,-313,Debit,
207,40,2020-12-12,385,Versement,
208,40,2020-05-19,-233,Debit,
209,40,2023-07-18,-163,Debit,
210,40,2023-01-16,489,Versement,
211,41,2021-01-24,-387,Debit,
212,41,2023-11-09,293,Versement,
213,41,2024-09-01,222,Versement,
214,41,2023-05-25,-370,Debit,
215,41,2020-04-27,-284,Debit,
216,41,2022-04-23,185,Versement,
217,41,2023-12-01,366,Versement,
218,42,2022-07-18,176,Versement,
219,42,2022-03-08,404,Versement,
220,42,2024-01-23,156,Versement,
221,42,2020-05-02,-73,Debit,
222,42,2023-08-17,-146,Debit,
223,42,2024-08-13,-253,Debit,
224,42,2023-01-15,361,Versement,
225,42,2022-07-27,-14,Debit,
226,43,2021-06-22,469,Versement,
