pokedex_id,nom,pv,attaque,defense,attaque_speciale,defense_speciale,vitesse,taille,poids
1,Bulbizarre,45,49,49,65,65,45,0.7,6.9
2,Herbizarre,60,62,63,80,80,60,1.0,13.0
3,Florizarre,80,82,83,100,100,80,2.0,100.0
4,Salameche,39,52,43,60,50,65,0.6,8.5
5,Reptincel,58,64,58,80,65,80,1.1,19.0
6,Dracaufeu,78,84,78,109,85,100,1.7,90.5
7,Carapuce,44,48,65,50,64,43,0.5,9.0
8,Carabaffe,59,63,80,65,80,58,1.0,22.5
9,Tortank,79,83,100,85,105,78,1.6,85.5
10,Chenipan,45,30,35,20,20,45,0.3,2.9
11,Chrysacier,50,20,55,25,25,30,0.7,9.9
12,Papilusion,60,45,50,90,80,70,1.1,32.0
13,Aspicot,40,35,30,20,20,50,0.3,3.2
14,Coconfort,45,25,50,25,25,35,0.6,10.0
15,Dardargnan,65,90,40,45,80,75,1.0,29.5
16,Roucool,40,45,40,35,35,56,0.3,1.8
17,Roucoups,63,60,55,50,50,71,1.1,30.0
18,Roucarnage,83,80,75,70,70,101,1.5,39.5
19,Rattata,30,56,35,25,35,72,0.3,3.5
20,Rattatac,55,81,60,50,70,97,0.7,18.5
21,Piafabec,40,60,30,31,31,70,0.3,2.0
22,Rapasdepic,65,90,65,61,61,100,1.2,38.0
23,Abo,35,60,44,40,54,55,2.0,6.9
24,Arbok,60,95,69,65,79,80,3.5,65.0
25,Pikachu,45,80,50,75,60,120,0.4,6.0
26,Raichu,60,90,55,90,80,110,0.8,30.0
27,Sabelette,50,75,85,20,30,40,0.6,12.0
28,Sablaireau,75,100,110,45,55,65,1.0,29.5
29,Nidoran♀,55,47,52,40,40,41,0.4,7.0
30,Nidorina,70,62,67,55,55,56,0.8,20.0
31,Nidoqueen,90,92,87,75,85,76,1.3,60.0
32,Nidoran♂,46,57,40,40,40,50,0.5,9.0
33,Nidorino,61,72,57,55,55,65,0.9,19.5
34,Nidoking,81,102,77,85,75,85,1.4,62.0
35,Melofee,70,45,48,60,65,35,0.6,7.5
36,Melodelfe,95,70,73,95,90,60,1.3,40.0
37,Goupix,38,41,40,50,65,65,0.6,9.9
38,Feunard,73,76,75,81,100,100,1.1,19.9
39,Rondoudou,115,45,20,45,25,20,0.5,5.5
40,Grodoudou,140,70,45,85,50,45,1.0,12.0
41,Nosferapti,40,45,35,30,40,55,0.8,7.5
42,Nosferalto,75,80,70,65,75,90,1.6,55.0
43,Mystherbe,45,50,55,75,65,30,0.5,5.4
44,Ortide,60,65,70,85,75,40,0.8,8.6
45,Rafflesia,75,80,85,110,90,50,1.2,18.6
46,Paras,35,70,55,45,55,25,0.3,5.4
47,Parasect,60,95,80,60,80,30,1.0,29.5
