id,nom,nom_champion,badge,date_creation
1,Argenta,Pierre,Roche,2000-12-12
2,Azuria,Ondine,Eau,2000-12-12
3,Carmin sur Mer,Major Bob,electrik,2000-12-12
4,Celadopole,Erika,Plante,2000-12-12
5,Parmanie,Koga,Poison,2000-12-12
6,Safrania,Morgane,Psy,2000-12-12
7,Cramois\'Île,Auguste,Feu,2000-12-12
8,Jadielle,Giovanni,Sol,2000-12-12
9,Argenta,Pierre,Roche,2005-12-12
10,Azuria,Ondine,Eau,2005-12-12
11,Carmin sur Mer,Major Bob,electrik,2005-12-12
12,Celadopole,Erika,Plante,2005-12-12
13,Parmanie,Koga,Poison,2005-12-12
14,Safrania,Morgane,Psy,2005-12-12
15,Cramois\'Île,Auguste,Feu,2005-12-12
16,Jadielle,Giovanni,Sol,2005-12-12
17,Mauville,Albert,Vol,2007-12-12
18,ecorcia,Hector,Insecte,2007-12-12
19,Doublonville,Blanche,Normal,2007-12-12
20,Rosalia,Mortimer,Spectre,2007-12-12
21,Irisia,Chuck,Combat,2007-12-12
22,Oliville,Jasmine,Acier,2007-12-12
23,Acajou,Fredo,Glace,2007-12-12
24,ebenelle,Sandra,Dragon,2007-12-12
25,Merouville,Roxanne,Roche,2009-12-12
26,Myokara,Bastien,Combat,2009-12-12
27,Lavandia,Voltere,electrik,2009-12-12
28,Vermilava,Adriane,Feu,2009-12-12
29,Clementi-Ville,Norman,Normal,2009-12-12
30,Cimetronelle,Alizee,Vol,2009-12-12
31,Algatia,Levy & Tatia,Psy,2009-12-12
32,Atalanopolis,Marc,Eau,2009-12-12
33,Charbourg,Pierrick,Roche,2011-12-12
34,Vestigion,Flo,Plante,2011-12-12
35,Voilaroc,Melina,Combat,2011-12-12
36,Verchamps,Lovis,Eau,2011-12-12
37,Unionpolis,Kimera,Spectre,2011-12-12
38,Joliberges,Charles,Acier,2011-12-12
39,Frimapic,Gladys,Glace,2011-12-12
40,Rivamar,Tanguy,electrik,2011-12-12
41,Ogoesse,Noa,Eau,2014-12-12
42,Maillard,Aloe,Normal,2014-12-12
43,Volucite,Artie,Insecte,2014-12-12
44,Meanville,Inezia,electrik,2014-12-12
45,Port Yoneuve,Bardane,Sol,2014-12-12
46,Parsemille,Carolina,Vol,2014-12-12
47,Flocombe,Zhu,Glace,2014-12-12
48,Janusia,Iris,Dragon,2014-12-12
49,Pavonnay,Tcheren,Normal,2016-12-12
50,Ondes-sur-Mer,Strykna,Poison,2016-12-12
51,Volucite,Artie,Insecte,2016-12-12
52,Meanville,Inezia,electrik,2016-12-12
53,Port Yoneuve,Bardane,Sol,2016-12-12
54,Parsemille,Carolina,Vol,2016-12-12
55,Janusia,Watson,Dragon,2016-12-12
56,Papeloa,Amana,Eau,2016-12-12
57,Neuvartault,Violette,Insecte,2018-12-12
58,Relifac-le-Haut,Lino,Roche,2018-12-12
59,Yantreizh,Cornelia,Combat,2018-12-12
60,Port Temperes,Amaro,Plante,2018-12-12
61,Illumis,Lem,electrik,2018-12-12
62,Romant-sous-Bois,Valeriane,Fee,2018-12-12
63,Flusselles,Astera,Psy,2018-12-12
64,Auffrac-les-Congeres,Urup,Glace,2018-12-12
65,Greenbury,Percy,Plante,2020-12-12
66,Skifford,Donna,Eau,2020-12-12
67,Motorby,Kabu,Feu,2020-12-12
68,Old Chister,Faiza - Alistair,Combat - Spectre,2020-12-12
69,Corrifey,Sally,Fee,2020-12-12
70,Ludester,Chaz - Lona,Roche - Glace,2020-12-12
71,Smashings,Peterson,Tenebres,2020-12-12
72,Kickenham,Roy,Dragon,2020-12-12
73,Sevaro,era,Insecte,2022-12-12
74,Cuencia,Colza,Plante,2022-12-12
75,Levalendura,Mashynn,electrik,2022-12-12
76,Jarramanca,Kombu,Eau,2022-12-12
77,Mezclamora,Okuba,Normal,2022-12-12
78,Frigao,Laim,Spectre,2022-12-12
79,Alforneira,Tully,Psy,2022-12-12
80,Mont Nappe,Grusha,Glace,2022-12-12
