pokedex_id,type
1,Plante
1,Poison
2,Plante
2,Poison
3,Plante
3,Poison
4,Feu
5,Feu
6,Feu
6,Vol
7,Eau
8,Eau
9,Eau
10,Insecte
11,Insecte
12,Insecte
12,Vol
13,Insecte
13,Poison
14,Insecte
14,Poison
15,Insecte
15,Poison
16,Normal
16,Vol
17,Normal
17,Vol
18,Normal
18,Vol
19,Normal
20,Normal
21,Normal
21,Vol
22,Normal
22,Vol
23,Poison
24,Poison
25,electrik
26,electrik
27,Sol
28,Sol
29,Poison
30,Poison
31,Poison
31,Sol
32,Poison
33,Poison
34,Poison
34,Sol
35,Fee
36,Fee
37,Feu
38,Feu
39,Normal
39,Fee
40,Normal
40,Fee
41,Poison
41,Vol
42,Poison
42,Vol
43,Plante
43,Poison
44,Plante
44,Poison
45,Plante
45,Poison
46,Insecte
46,Plante
47,Insecte
47,Plante
48,Insecte
48,Poison
49,Insecte
49,Poison
50,Sol
51,Sol
52,Normal
53,Normal
54,Eau
55,Eau
56,Combat
57,Combat
58,Feu
59,Feu
60,Eau
61,Eau
62,Eau
62,Combat
63,Psy
64,Psy
65,Psy
66,Combat
67,Combat
68,Combat
69,Plante
69,Poison
70,Plante
70,Poison
71,Plante
71,Poison
72,Eau
72,Poison
73,Eau
73,Poison
74,Roche
74,Sol
75,Roche
75,Sol
76,Roche
76,Sol
77,Feu
78,Feu
79,Eau
79,Psy
80,Eau
80,Psy
81,electrik
81,Acier
82,electrik
82,Acier
83,Normal
83,Vol
84,Normal
84,Vol
85,Normal
85,Vol
86,Eau
87,Eau
87,Glace
88,Poison
89,Poison
90,Eau
91,Eau
91,Glace
92,Spectre
92,Poison
93,Spectre
93,Poison
94,Spectre
94,Poison
95,Roche
95,Sol
96,Psy
97,Psy
98,Eau
99,Eau
100,electrik
101,electrik
102,Plante
102,Psy
103,Plante
103,Psy
104,Sol
105,Sol
106,Combat
107,Combat
108,Normal
109,Poison
110,Poison
111,Sol
111,Roche
112,Sol
112,Roche
113,Normal
114,Plante
115,Normal
116,Eau
117,Eau
118,Eau
119,Eau
120,Eau
121,Eau
121,Psy
122,Psy
122,Fee
123,Insecte
123,Vol
124,Glace
124,Psy
125,electrik
126,Feu
127,Insecte
128,Normal
129,Eau
130,Eau
130,Vol
131,Eau
131,Glace
132,Normal
133,Normal
134,Eau
135,electrik
136,Feu
137,Normal
138,Roche
138,Eau
139,Roche
139,Eau
140,Roche
140,Eau
141,Roche
141,Eau
142,Roche
142,Vol
143,Normal
144,Glace
144,Vol
145,electrik
145,Vol
146,Feu
146,Vol
147,Dragon
148,Dragon
149,Dragon
149,Vol
150,Psy
151,Psy
