pokedex_id,type,evolution_id,condition
1,next,2,Niveau 16
2,previous,1,Niveau 16
2,next,3,Niveau 32
3,previous,1,Niveau 16
4,next,5,Niveau 16
5,previous,4,Niveau 16
5,next,6,Niveau 36
6,previous,4,Niveau 16
7,next,8,Niveau 16
8,previous,7,Niveau 16
8,next,9,Niveau 36
9,previous,7,Niveau 16
10,next,11,Niveau 7
11,previous,10,Niveau 7
11,next,12,Niveau 10
12,previous,10,Niveau 7
13,next,14,Niveau 7
14,previous,13,Niveau 7
14,next,15,Niveau 10
15,previous,13,Niveau 7
16,next,17,Niveau 18
17,previous,16,Niveau 18
17,next,18,Niveau 36
18,previous,16,Niveau 18
19,next,20,Niveau 20
20,previous,19,Niveau 20
21,next,22,Niveau 20
22,previous,21,Niveau 20
23,next,24,Niveau 22
24,previous,23,Niveau 22
25,previous,172,Bonheur
25,next,26,Pierre Foudre
26,previous,172,+1 Niveau + Bonheur
27,next,28,Niveau 22
28,previous,27,Niveau 22
29,next,30,Niveau 16
30,previous,29,Niveau 16
30,next,31,Pierre Lune
31,previous,29,Niveau 16
32,next,33,Niveau 16
33,previous,32,Niveau 16
33,next,34,Pierre Lune
34,previous,32,Niveau 16
35,previous,173,Bonheur
35,next,36,Pierre Lune
36,previous,173,Bonheur
37,next,38,Pierre Feu
38,previous,37,Pierre Feu
39,previous,174,Bonheur
39,next,40,Pierre Lune
40,previous,174,Bonheur
41,next,42,Niveau 22
42,previous,41,Niveau 22
42,next,169,Bonheur
43,next,44,Niveau 21
44,previous,43,Niveau 21
44,next,45,Pierre Plante
45,previous,43,Niveau 21
46,next,47,Niveau 24
47,previous,46,Niveau 24
48,next,49,Niveau 31
49,previous,48,Niveau 31
50,next,51,Niveau 26
51,previous,50,Niveau 26
52,next,53,Niveau 28
53,previous,52,Niveau 28
54,next,55,Niveau 33
55,previous,54,Niveau 33
56,next,57,Niveau 28
57,previous,56,Niveau 28
57,next,979,Utilise 20 fois la capacite Poing de Colere + gain de niveau
58,next,59,Pierre Feu
59,previous,58,Pierre Feu
60,next,61,Niveau 25
61,previous,60,Niveau 25
61,next,62,Pierre Eau
62,previous,60,Niveau 25
63,next,64,Niveau 16
64,previous,63,Niveau 16
64,next,65,Echange/Au contact d\'un Fil de Liaison
65,previous,63,Niveau 16
66,next,67,Niveau 28
67,previous,66,Niveau 28
67,next,68,Echange/Au contact d\'un Fil de Liaison
68,previous,66,Niveau 28
69,next,70,Niveau 21
70,previous,69,Niveau 21
70,next,71,Pierre Plante
71,previous,69,Niveau 21
72,next,73,Niveau 30
73,previous,72,Niveau 30
74,next,75,Niveau 25
75,previous,74,Niveau 25
75,next,76,Echange/Au contact d\'un Fil de Liaison
76,previous,74,Niveau 25
77,next,78,Niveau 40
78,previous,77,Niveau 40
79,next,80,Niveau 37
80,previous,79,Niveau 37
81,next,82,Niveau 30
82,previous,81,Niveau 30
84,next,85,Niveau 31
85,previous,84,Niveau 31
86,next,87,Niveau 34
87,previous,86,Niveau 34
88,next,89,Niveau 38
89,previous,88,Niveau 38
90,next,91,Pierre Eau
91,previous,90,Pierre Eau
92,next,93,Niveau 25
93,previous,92,Niveau 25
93,next,94,Echange/Au contact d\'un Fil de Liaison
94,previous,92,Niveau 25
95,next,208,Echange avec Peau Metal/Au contact d\'une Peau Metal
96,next,97,Niveau 26
97,previous,96,Niveau 26
98,next,99,Niveau 28
99,previous,98,Niveau 28
100,next,101,Niveau 30
101,previous,100,Niveau 30
102,next,103,Pierre Plante
103,previous,102,Pierre Plante
104,next,105,Niveau 28
105,previous,104,Niveau 28
106,previous,236,Niveau 20 + Attaque > Defense
107,previous,236,Niveau 20 + Attaque < Defense
108,next,463,Attaque Roulade + 1 niveau
109,next,110,Niveau 35
110,previous,109,Niveau 35
111,next,112,Niveau 42
112,previous,111,Niveau 42
112,next,464,Echange avec Protecteur/Contact d\'un Protecteur
113,next,242,Bonheur
114,next,465,Pouvoir Antique + 1 niveau
116,next,117,Niveau 32
117,previous,116,Niveau 32
117,next,230,Echange avec ecaille Draco
118,next,119,Niveau 33
119,previous,118,Niveau 33
120,next,121,Pierre Eau
121,previous,120,Pierre Eau
122,previous,439,+1 Niveau avec Copie
123,next,212,Echange avec Peau Metal/Au contact d\'une Peau Metal
124,previous,238,Niveau 30
125,previous,239,Niveau 30
125,next,466,Echange avec electriseur/Contact d\'un electriseur
126,previous,240,Niveau 30
126,next,467,Echange avec Magmariseur/Contact d\'un Magmariseur
129,next,130,Niveau 20
130,previous,129,Niveau 20
133,next,134,Pierre Eau
134,previous,133,Pierre Eau
135,previous,133,Pierre Foudre
136,previous,133,Pierre Feu
138,next,139,Niveau 40
139,previous,138,Niveau 40
140,next,141,Niveau 40
141,previous,140,Niveau 40
143,previous,143,Bonheur
147,next,148,Niveau 30
148,previous,147,Niveau 30
148,next,149,Niveau 55
149,previous,147,Niveau 30
152,next,153,Niveau 16
153,previous,152,Niveau 16
153,next,154,Niveau 32
154,previous,152,Niveau 16
156,next,157,Niveau 36
158,next,159,Niveau 18
159,previous,158,Niveau 18
159,next,160,Niveau 30
160,previous,158,Niveau 18
161,next,162,Niveau 15
162,previous,161,Niveau 15
163,next,164,Niveau 20
164,previous,163,Niveau 20
165,next,166,Niveau 18
166,previous,165,Niveau 18
167,next,168,Niveau 22
168,previous,167,Niveau 22
169,previous,41,Niveau 22
170,next,171,Niveau 27
171,previous,170,Niveau 27
172,next,25,Bonheur
173,next,35,Bonheur
174,next,39,Bonheur
175,next,176,+1 Niveau + Bonheur
176,previous,175,+1 Niveau + Bonheur
176,next,468,Pierre eclat
177,next,178,Niveau 25
178,previous,177,Niveau 25
179,next,180,Niveau 15
180,previous,179,Niveau 15
180,next,181,Niveau 30
181,previous,179,Niveau 15
182,previous,43,Niveau 21
183,previous,298,+1 Niveau + Bonheur
183,next,184,Niveau 18
184,previous,298,+1 Niveau + Bonheur
185,previous,438,Connaitre Copie + 1 Niveau
186,previous,60,Niveau 25
187,next,188,Niveau 18
188,previous,187,Niveau 18
188,next,189,Niveau 27
189,previous,187,Niveau 18
190,next,424,+1 Niveau avec Coup Double
191,next,192,Pierre Soleil
192,previous,191,Pierre Soleil
193,next,469,+1 Niveau avec Pouvoir Antique
194,next,195,Niveau 20
195,previous,194,Niveau 20
196,previous,133,Bonheur + Jour + 1 niveau + aucune capacite Fee
197,previous,133,Bonheur + Nuit + 1 niveau + aucune capacite Fee
198,next,430,Pierre Nuit
199,previous,79,Echange Ramoloss avec Roche Royale
200,next,429,Pierre Nuit
202,previous,360,Niveau 15
203,next,981,+1 Niveau avec Double Laser
204,next,205,Niveau 31
205,previous,204,Niveau 31
206,next,982,+1 Niveau avec Hyperceuse
209,next,210,Niveau 23
210,previous,209,Niveau 23
215,next,461,+1 Niveau avec Griffe Rasoir / Contact d\'une Griffe Rasoir
216,next,217,Niveau 30
217,previous,216,Niveau 30
217,next,901,Bloc de Tourbe en nuit de pleine lune
218,next,219,Niveau 38
219,previous,218,Niveau 38
220,next,221,Niveau 33
221,previous,220,Niveau 33
221,next,473,+1 Niveau avec Pouvoir Antique
223,next,224,Niveau 25
224,previous,223,Niveau 25
226,previous,458,Gain de niveau avec Remoraid dans l\'equipe
228,next,229,Niveau 24
229,previous,228,Niveau 24
230,previous,116,Niveau 32
231,next,232,Niveau 25
232,previous,231,Niveau 25
