id,nom,categorie,prix
1,Master Ball,Pokeballs,145
2,Ultra Ball,Pokeballs,583
3,Great Ball,Pokeballs,749
4,Poke Ball,Pokeballs,247
5,Safari Ball,Pokeballs,239
6,Net Ball,Pokeballs,435
7,Dive Ball,Pokeballs,176
8,Nest Ball,Pokeballs,813
9,Repeat Ball,Pokeballs,241
10,Timer Ball,Pokeballs,401
11,Luxury Ball,Pokeballs,143
12,Premier Ball,Pokeballs,109
13,Dusk Ball,Pokeballs,638
14,Heal Ball,Pokeballs,834
15,Quick Ball,Pokeballs,811
16,Cherish Ball,Pokeballs,502
17,Potion,Medecine,261
18,Antidote,Medecine,926
19,Burn Heal,Medecine,865
20,Ice Heal,Medecine,171
21,Awakening,Medecine,247
22,Paralyze Heal,Medecine,684
23,Full Restore,Medecine,413
24,Max Potion,Medecine,905
25,Hyper Potion,Medecine,805
26,Super Potion,Medecine,106
27,Full Heal,Medecine,615
28,Revive,Medecine,958
29,Max Revive,Medecine,271
30,Fresh Water,Medecine,146
31,Soda Pop,Medecine,915
32,Lemonade,Medecine,180
33,Moomoo Milk,Medecine,198
34,Energy Powder,Medecine,203
35,Energy Root,Medecine,633
36,Heal Powder,Medecine,551
37,Revival Herb,Medecine,598
38,Ether,Medecine,195
39,Max Ether,Medecine,818
40,Elixir,Medecine,168
41,Max Elixir,Medecine,979
42,Lava Cookie,Medecine,965
43,Berry Juice,Medecine,578
44,Sacred Ash,Medecine,809
45,HP Up,Medecine,103
46,Protein,Medecine,249
47,Iron,Medecine,279
48,Carbos,Medecine,588
49,Calcium,Medecine,616
50,Rare Candy,Medecine,565
51,PP Up,Medecine,594
52,Zinc,Medecine,217
53,PP Max,Medecine,305
54,Old Gateau,Medecine,298
55,Guard Spec.,Items de combats,267
56,Dire Hit,Items de combats,412
57,X Attack,Items de combats,267
58,X Defense,Items de combats,290
59,X Speed,Items de combats,966
60,X Accuracy,Items de combats,932
61,X Sp. Atk,Items de combats,757
62,X Sp. Def,Items de combats,393
63,Poke Doll,Objets generaux,911
64,Fluffy Tail,Objets generaux,122
65,Blue Flute,Objets generaux,924
66,Yellow Flute,Objets generaux,550
67,Red Flute,Objets generaux,132
68,Black Flute,Objets generaux,355
69,White Flute,Objets generaux,730
70,Shoal Salt,Objets generaux,559
71,Shoal Shell,Objets generaux,852
72,Red Shard,Objets generaux,274
73,Blue Shard,Objets generaux,711
74,Yellow Shard,Objets generaux,590
75,Green Shard,Objets generaux,778
76,Super Repel,Objets generaux,892
77,Max Repel,Objets generaux,654
78,Escape Rope,Objets generaux,905
79,Repel,Objets generaux,796
80,Sun Stone,Objets generaux,863
81,Moon Stone,Objets generaux,601
82,Fire Stone,Objets generaux,763
83,Thunder Stone,Objets generaux,277
84,Water Stone,Objets generaux,805
85,Leaf Stone,Objets generaux,642
86,Tiny Mushroom,Objets generaux,857
87,Big Mushroom,Objets generaux,710
88,Pearl,Objets generaux,628
89,Big Pearl,Objets generaux,241
90,Stardust,Objets generaux,618
91,Star Piece,Objets generaux,865
92,Nugget,Objets generaux,835
93,Heart Scale,Objets generaux,561
94,Honey,Objets generaux,251
95,Growth Mulch,Objets generaux,145
96,Damp Mulch,Objets generaux,224
97,Stable Mulch,Objets generaux,118
98,Gooey Mulch,Objets generaux,839
99,Root Fossil,Objets generaux,112
100,Claw Fossil,Objets generaux,326
102,Dome Fossil,Objets generaux,864
103,Old Amber,Objets generaux,643
104,Armor Fossil,Objets generaux,847
105,Skull Fossil,Objets generaux,260
106,Rare Bone,Objets generaux,549
107,Shiny Stone,Objets generaux,410
108,Dusk Stone,Objets generaux,369
109,Dawn Stone,Objets generaux,969
110,Oval Stone,Objets generaux,855
111,Odd Keystone,Objets generaux,701
112,Griseous Orb,Objets tenus,334
116,Douse Drive,Objets tenus,792
117,Shock Drive,Objets tenus,850
118,Burn Drive,Objets tenus,758
119,Chill Drive,Objets tenus,591
134,Sweet Heart,Medecine,669
135,Adamant Orb,Objets tenus,384
136,Lustrous Orb,Objets tenus,611
149,Cheri Berry,Baies,132
150,Chesto Berry,Baies,685
151,Pecha Berry,Baies,727
152,Rawst Berry,Baies,754
153,Aspear Berry,Baies,348
154,Leppa Berry,Baies,774
155,Oran Berry,Baies,431
156,Persim Berry,Baies,388
157,Lum Berry,Baies,833
158,Sitrus Berry,Baies,932
159,Figy Berry,Baies,352
160,Wiki Berry,Baies,215
161,Mago Berry,Baies,674
162,Aguav Berry,Baies,344
163,Iapapa Berry,Baies,347
164,Razz Berry,Baies,753
165,Bluk Berry,Baies,439
166,Nanab Berry,Baies,324
167,Wepear Berry,Baies,540
168,Pinap Berry,Baies,462
170,Kelpsy Berry,Baies,248
171,Qualot Berry,Baies,921
172,Hondew Berry,Baies,841
173,Grepa Berry,Baies,135
174,Tamato Berry,Baies,150
175,Cornn Berry,Baies,639
176,Magost Berry,Baies,209
177,Rabuta Berry,Baies,528
178,Nomel Berry,Baies,778
179,Spelon Berry,Baies,426
180,Pamtre Berry,Baies,405
181,Watmel Berry,Baies,779
182,Durin Berry,Baies,953
183,Belue Berry,Baies,792
184,Occa Berry,Baies,723
185,Passho Berry,Baies,786
186,Wacan Berry,Baies,693
187,Rindo Berry,Baies,402
188,Yache Berry,Baies,956
189,Chople Berry,Baies,679
190,Kebia Berry,Baies,193
191,Shuca Berry,Baies,832
192,Coba Berry,Baies,937
193,Payapa Berry,Baies,525
194,Tanga Berry,Baies,520
195,Charti Berry,Baies,549
196,Kasib Berry,Baies,282
197,Haban Berry,Baies,799
198,Colbur Berry,Baies,361
199,Babiri Berry,Baies,334
200,Chilan Berry,Baies,147
201,Liechi Berry,Baies,448
202,Ganlon Berry,Baies,736
203,Salac Berry,Baies,412
204,Petaya Berry,Baies,149
205,Apicot Berry,Baies,860
206,Lansat Berry,Baies,908
207,Starf Berry,Baies,254
208,Enigma Berry,Baies,352
209,Micle Berry,Baies,330
210,Custap Berry,Baies,827
211,Jaboca Berry,Baies,337
212,Rowap Berry,Baies,303
213,Bright Powder,Objets tenus,716
214,White Herb,Objets tenus,906
215,Macho Brace,Objets tenus,908
216,Exp. Share,Objets tenus,736
217,Quick Claw,Objets tenus,734
218,Soothe Bell,Objets tenus,412
219,Mental Herb,Objets tenus,510
220,Choice Band,Objets tenus,891
221,King\'s Rock,Objets tenus,678
222,Silver Powder,Objets tenus,931
223,Amulet Coin,Objets tenus,964
224,Cleanse Tag,Objets tenus,895
225,Soul Dew,Objets tenus,540
226,Deep Sea Tooth,Objets tenus,460
227,Deep Sea Scale,Objets tenus,155
228,Smoke Ball,Objets tenus,634
229,Everstone,Objets tenus,250
230,Focus Band,Objets tenus,138
231,Lucky Egg,Objets tenus,183
232,Scope Lens,Objets tenus,599
233,Metal Coat,Objets tenus,675
234,Leftovers,Objets tenus,964
235,Dragon Scale,Objets generaux,940
236,Light Ball,Objets tenus,439
237,Soft Sand,Objets tenus,861
238,Hard Stone,Objets tenus,101
239,Miracle Seed,Objets tenus,239
240,Black Glasses,Objets tenus,233
241,Black Belt,Objets tenus,243
242,Magnet,Objets tenus,880
243,Mystic Water,Objets tenus,573
244,Sharp Beak,Objets tenus,885
245,Poison Barb,Objets tenus,919
246,Never-Melt Ice,Objets tenus,706
247,Spell Tag,Objets tenus,480
248,Twisted Spoon,Objets tenus,637
249,Charcoal,Objets tenus,403
250,Dragon Fang,Objets tenus,249
251,Silk Scarf,Objets tenus,503
253,Shell Bell,Objets tenus,168
254,Sea Incense,Objets tenus,544
255,Lax Incense,Objets tenus,569
256,Lucky Punch,Objets tenus,433
257,Metal Powder,Objets tenus,994
258,Thick Club,Objets tenus,706
260,Red Scarf,Objets generaux,839
261,Blue Scarf,Objets generaux,975
262,Pink Scarf,Objets generaux,783
263,Green Scarf,Objets generaux,751
264,Yellow Scarf,Objets generaux,147
265,Wide Lens,Objets tenus,203
266,Muscle Band,Objets tenus,967
267,Wise Glasses,Objets tenus,889
268,Expert Belt,Objets tenus,945
269,Light Clay,Objets tenus,172
270,Life Orb,Objets tenus,470
271,Power Herb,Objets tenus,832
272,Toxic Orb,Objets tenus,226
273,Flame Orb,Objets tenus,257
274,Quick Powder,Objets tenus,466
275,Focus Sash,Objets tenus,662
276,Zoom Lens,Objets tenus,770
277,Metronome,Objets tenus,742
278,Iron Ball,Objets tenus,825
279,Lagging Tail,Objets tenus,276
280,Destiny Knot,Objets tenus,878
281,Black Sludge,Objets tenus,204
282,Icy Rock,Objets tenus,185
283,Smooth Rock,Objets tenus,265
284,Heat Rock,Objets tenus,904
285,Damp Rock,Objets tenus,150
286,Grip Claw,Objets tenus,388
287,Choice Scarf,Objets tenus,814
288,Sticky Barb,Objets tenus,770
289,Power Bracer,Objets tenus,458
290,Power Belt,Objets tenus,433
291,Power Lens,Objets tenus,660
292,Power Band,Objets tenus,645
293,Power Anklet,Objets tenus,472
294,Power Weight,Objets tenus,679
295,Shed Shell,Objets tenus,977
296,Big Root,Objets tenus,617
297,Choice Specs,Objets tenus,117
298,Flame Plate,Objets tenus,220
299,Splash Plate,Objets tenus,913
300,Zap Plate,Objets tenus,462
301,Meadow Plate,Objets tenus,859
302,Icicle Plate,Objets tenus,524
303,Fist Plate,Objets tenus,403
304,Toxic Plate,Objets tenus,764
305,Earth Plate,Objets tenus,375
306,Sky Plate,Objets tenus,309
307,Mind Plate,Objets tenus,830
308,Insect Plate,Objets tenus,282
309,Stone Plate,Objets tenus,294
310,Spooky Plate,Objets tenus,784
311,Draco Plate,Objets tenus,493
312,Dread Plate,Objets tenus,421
313,Iron Plate,Objets tenus,167
314,Odd Incense,Objets tenus,645
315,Rock Incense,Objets tenus,504
316,Full Incense,Objets tenus,573
317,Wave Incense,Objets tenus,198
318,Rose Incense,Objets tenus,640
319,Luck Incense,Objets tenus,915
320,Pure Incense,Objets tenus,751
321,Protector,Objets generaux,582
322,Electirizer,Objets generaux,154
323,Magmarizer,Objets generaux,742
324,Dubious Disc,Objets generaux,982
325,Reaper Cloth,Objets generaux,316
326,Razor Claw,Objets tenus,496
327,Razor Fang,Objets tenus,494
328,TM01,Machines,496
329,TM02,Machines,359
330,TM03,Machines,276
331,TM04,Machines,676
332,TM05,Machines,985
333,TM06,Machines,207
334,TM07,Machines,461
335,TM08,Machines,547
336,TM09,Machines,128
337,TM10,Machines,586
338,TM11,Machines,423
339,TM12,Machines,751
340,TM13,Machines,836
341,TM14,Machines,518
342,TM15,Machines,827
343,TM16,Machines,489
344,TM17,Machines,212
345,TM18,Machines,199
346,TM19,Machines,713
347,TM20,Machines,393
348,TM21,Machines,558
349,TM22,Machines,957
350,TM23,Machines,641
351,TM24,Machines,705
352,TM25,Machines,520
353,TM26,Machines,623
354,TM27,Machines,799
355,TM28,Machines,274
356,TM29,Machines,343
357,TM30,Machines,553
358,TM31,Machines,457
359,TM32,Machines,225
360,TM33,Machines,741
361,TM34,Machines,856
362,TM35,Machines,993
363,TM36,Machines,602
364,TM37,Machines,282
365,TM38,Machines,494
366,TM39,Machines,313
367,TM40,Machines,713
368,TM41,Machines,689
369,TM42,Machines,318
370,TM43,Machines,145
371,TM44,Machines,573
372,TM45,Machines,895
373,TM46,Machines,271
374,TM47,Machines,164
375,TM48,Machines,351
376,TM49,Machines,788
377,TM50,Machines,559
378,TM51,Machines,151
379,TM52,Machines,816
380,TM53,Machines,730
381,TM54,Machines,400
382,TM55,Machines,496
383,TM56,Machines,227
384,TM57,Machines,602
385,TM58,Machines,303
386,TM59,Machines,516
387,TM60,Machines,577
388,TM61,Machines,769
389,TM62,Machines,305
