id,id_objet,id_dresseur,quantite
1,19,1,10
2,289,1,8
3,555,1,6
4,682,1,2
5,223,1,4
6,341,1,1
7,112,1,5
8,619,1,3
9,485,1,10
10,361,1,8
11,271,1,8
12,288,1,10
13,471,1,6
14,577,1,10
15,1233,1,3
16,1217,1,6
17,572,1,5
18,675,1,10
19,1128,1,9
20,1111,1,7
21,404,1,1
22,1259,1,4
23,431,1,1
24,398,1,2
25,3,1,4
26,99,1,5
27,470,1,7
28,1115,1,8
29,633,1,2
30,185,1,9
31,929,1,8
32,1146,1,5
33,57,1,3
34,1171,1,9
35,83,1,2
36,479,1,7
37,59,1,9
38,1170,1,10
39,348,1,3
40,741,1,8
41,810,1,7
42,1103,1,8
43,153,1,9
44,972,1,5
45,951,1,2
46,343,1,6
47,942,1,9
48,928,1,9
49,178,1,10
50,554,1,9
51,230,1,6
52,105,1,8
53,53,1,5
54,377,1,2
55,650,1,6
56,1196,1,8
57,295,1,3
58,549,1,10
59,602,1,10
60,2,1,4
61,796,1,10
62,1166,1,10
63,164,1,7
64,975,1,9
65,319,1,9
66,411,1,8
67,416,1,7
68,218,1,10
69,1165,1,4
70,1134,1,2
71,853,1,7
72,17,1,5
73,948,1,2
74,73,1,4
75,680,1,2
76,391,1,2
77,6,1,9
78,387,1,1
79,575,1,4
80,809,1,4
81,306,1,7
82,603,1,9
83,355,1,3
84,433,1,8
85,601,1,7
86,764,1,6
87,244,1,3
88,860,1,1
89,1264,1,1
90,193,1,7
91,449,1,10
92,54,1,9
93,342,1,10
94,1174,1,4
95,12,1,8
96,395,1,10
97,345,1,6
98,298,1,6
99,477,1,8
100,23,1,3
101,843,1,5
102,287,1,9
103,362,1,10
104,913,1,7
105,82,1,2
106,563,1,2
107,585,1,5
108,734,1,6
109,1220,1,5
110,1105,1,3
111,1125,1,9
112,474,1,8
113,1208,1,8
114,1209,1,10
115,460,1,7
116,473,1,6
117,9,1,7
118,373,1,10
119,1158,1,8
120,408,1,8
121,215,1,8
122,872,1,3
123,457,1,10
124,93,1,5
125,652,1,8
126,272,1,7
127,55,1,8
128,256,1,1
129,354,1,8
130,1195,1,5
131,365,1,2
132,596,1,10
133,752,1,10
134,233,1,3
135,1089,1,5
136,77,1,2
137,1267,1,6
138,627,1,3
139,546,1,8
140,726,1,8
141,1113,1,5
142,1228,1,2
143,1144,1,10
144,648,1,4
145,968,1,7
146,667,1,10
147,732,1,4
148,548,1,8
149,517,1,8
150,346,1,9
151,257,1,7
152,733,1,3
153,419,1,8
154,1117,1,1
155,1094,1,7
156,448,1,8
157,205,1,10
158,1148,1,7
159,513,1,5
160,1183,1,3
161,611,1,1
162,1141,1,7
163,938,1,10
164,756,1,9
165,43,1,2
166,166,1,5
167,578,1,9
168,453,1,5
169,29,1,10
170,246,1,5
171,697,1,3
172,721,1,9
173,472,1,7
174,79,1,8
175,28,1,3
176,686,1,10
177,762,1,8
178,370,1,1
179,828,1,4
180,689,1,8
181,770,1,2
182,393,1,3
183,173,1,9
184,1135,1,10
185,209,1,6
186,364,1,5
187,228,1,9
188,7,1,4
189,522,1,5
190,469,1,6
191,586,1,6
192,907,1,10
193,662,1,5
194,937,1,8
195,849,1,6
196,743,1,1
197,1109,1,7
198,879,1,5
199,712,1,3
200,1124,1,4
201,696,1,1
202,730,1,6
203,556,1,1
204,290,1,7
205,857,1,6
206,807,1,10
207,1198,1,9
208,66,1,5
209,191,1,3
210,811,1,8
211,632,1,9
212,161,1,6
213,352,1,10
214,222,1,7
215,211,1,8
216,5,1,8
217,1126,1,2
218,204,1,1
219,1229,1,2
220,412,1,1
221,461,1,8
222,493,1,1
223,830,1,2
224,33,1,4
225,48,1,7
226,1176,1,3
227,500,1,8
228,415,1,3
229,86,1,4
230,1160,1,6
231,430,1,2
232,8,1,8
233,226,1,8
234,78,1,4
235,368,1,7
236,1153,1,2
237,974,1,10
238,600,1,10
239,876,1,6
240,506,1,7
241,421,1,6
242,1211,1,6
243,817,1,10
244,20,1,7
245,1087,1,1
246,171,1,2
247,155,1,10
248,640,1,2
249,1162,1,9
250,706,1,3
251,597,1,8
252,765,1,3
253,24,1,8
254,1222,1,7
255,543,1,6
256,1180,1,6
257,1112,1,8
258,308,1,3
259,1221,1,10
260,359,1,10
261,10,1,7
262,528,1,2
263,509,1,2
264,260,1,1
265,850,1,2
266,728,1,10
267,481,1,7
268,420,1,2
269,550,1,5
270,264,1,8
271,821,1,4
272,356,1,5
273,478,1,3
274,69,1,6
275,1173,1,9
276,905,1,9
277,936,1,1
278,852,1,3
279,503,1,7
280,1188,1,9
281,262,1,2
282,151,1,8
283,118,1,9
284,1193,1,10
285,722,1,4
286,1232,1,2
287,385,1,10
288,62,1,10
289,372,1,5
290,763,1,2
291,380,1,3
292,436,1,1
293,1178,1,9
294,274,1,1
295,1106,1,3
296,822,1,4
297,337,1,4
298,330,1,2
299,551,1,3
300,299,1,10
301,110,1,5
302,623,1,1
303,1246,1,6
304,317,1,5
305,846,1,7
306,187,1,9
307,149,1,7
308,282,1,8
309,695,1,7
310,961,1,8
311,616,1,5
312,618,1,3
313,278,1,7
314,1116,1,6
315,945,1,4
316,705,1,10
317,313,1,6
318,826,1,2
319,249,1,4
320,366,1,3
321,304,1,3
322,918,1,1
323,180,1,5
324,1204,1,9
325,691,1,7
326,873,1,8
327,351,1,5
328,297,1,1
329,363,1,2
330,174,1,2
331,1215,1,2
332,85,1,5
333,518,1,9
334,1085,1,5
335,535,1,1
336,1164,1,10
337,1121,1,6
338,381,1,4
339,1123,1,4
340,88,1,8
341,1224,1,6
342,314,1,3
343,590,1,10
344,1184,1,1
345,1095,1,4
346,813,1,3
347,435,1,4
348,227,1,9
349,406,1,7
350,92,1,3
351,1110,1,3
352,1098,1,10
353,437,1,2
354,1100,1,10
355,1269,1,3
356,232,1,9
357,340,1,7
358,94,1,3
359,834,1,1
360,179,1,3
361,315,1,1
362,1143,1,8
363,311,1,10
364,1258,1,9
365,324,1,9
366,331,1,5
367,501,1,4
368,65,1,8
369,243,1,7
370,424,1,8
371,100,1,4
372,1250,1,3
373,753,1,9
374,443,1,8
375,1254,1,6
376,292,1,2
377,832,1,1
378,967,1,1
379,312,1,8
380,177,1,8
381,677,1,10
382,744,1,8
383,847,1,9
384,339,1,7
385,1251,1,3
386,1154,1,3
387,1239,1,9
388,820,1,10
389,731,1,9
390,61,1,6
391,526,1,9
392,263,1,3
393,326,1,4
394,883,1,3
395,323,1,3
396,102,1,9
397,1099,1,5
398,1155,1,3
399,176,1,1
400,1185,1,8
401,1080,1,1
402,90,1,5
403,1194,1,10
404,47,1,1
405,439,1,4
406,253,1,5
407,973,1,6
408,620,1,3
409,958,1,8
410,1167,1,3
411,425,1,1
412,464,1,8
413,300,1,6
414,388,1,10
415,216,1,9
416,198,1,1
417,583,1,1
418,663,1,5
419,1240,1,5
420,971,1,8
421,643,1,4
422,1230,1,9
423,502,1,10
424,1108,1,1
425,651,1,9
426,87,1,2
427,855,1,4
428,542,1,6
429,827,1,6
430,400,1,9
431,283,1,3
432,591,1,8
433,1278,1,6
434,914,1,2
435,480,1,5
436,1090,1,5
437,1227,1,8
438,168,1,2
439,599,1,6
440,954,1,8
441,851,1,4
442,491,1,1
443,613,1,4
444,1190,1,4
445,75,1,8
446,15,1,5
447,768,1,6
448,718,1,2
449,201,1,4
450,915,1,1
451,683,1,6
452,26,1,10
453,671,1,5
454,200,1,6
455,724,1,5
456,573,1,1
457,52,1,6
458,152,1,6
459,684,1,6
460,281,1,9
461,1114,1,10
462,931,1,7
463,615,1,2
464,654,1,10
465,236,1,7
466,910,1,10
467,688,1,4
468,512,1,4
469,392,1,7
470,593,1,7
471,163,1,10
472,1210,1,1
473,116,1,6
474,1244,1,3
475,884,1,7
476,489,1,10
477,1132,1,8
478,1182,1,9
479,655,1,9
480,484,1,10
481,527,1,2
482,960,1,5
483,188,1,2
484,587,1,1
485,434,1,7
486,442,1,7
487,497,1,1
488,824,1,7
489,302,1,8
490,1256,1,8
491,665,1,7
492,1147,1,4
493,202,1,4
494,564,1,9
495,1,1,2
496,428,1,6
497,492,1,2
498,1248,1,9
499,579,1,9
500,234,1,8
501,60,1,8
502,634,1,3
503,660,1,7
504,584,1,1
505,1261,1,1
506,441,1,10
507,934,1,5
508,329,1,9
509,957,1,2
510,167,1,10
